,time,x,y,z
0,1497717838928,0.10870361328125,-0.0822601318359375,-1.02090454101562
1,1497717838937,0.120269775390625,-0.0896453857421875,-1.0657958984375
2,1497717838945,0.1295166015625,-0.0761871337890625,-1.08772277832031
3,1497717838955,0.14619445800781197,-0.03668212890625,-1.077880859375
4,1497717838964,0.17442321777343803,0.0077972412109375,-1.03363037109375
5,1497717838974,0.19970703125,0.0489349365234375,-0.9699859619140621
6,1497717838984,0.202728271484375,0.0640869140625,-0.91632080078125
7,1497717838994,0.190093994140625,0.06585693359375,-0.9299163818359379
8,1497717839004,0.16790771484375,0.08349609375,-0.9566497802734379
9,1497717839014,0.17100524902343803,0.09259033203125,-0.9356536865234379
