time,x,y,z
1497717838928,0.10870361328125,-0.0822601318359375,-1.02090454101562
1497717838937,0.120269775390625,-0.0896453857421875,-1.0657958984375
1497717838945,0.1295166015625,-0.0761871337890625,-1.08772277832031
1497717838955,0.146194458007812,-0.03668212890625,-1.077880859375
1497717838964,0.174423217773438,0.0077972412109375,-1.03363037109375
1497717838974,0.19970703125,0.0489349365234375,-0.969985961914062
1497717838984,0.202728271484375,0.0640869140625,-0.91632080078125
1497717838994,0.190093994140625,0.06585693359375,-0.929916381835938
1497717839004,0.16790771484375,0.08349609375,-0.956649780273438
1497717839014,0.171005249023438,0.09259033203125,-0.935653686523438
